site,block,paddock,genus_species,species_code,leaf_thickness_(mm),wet_leaf_weight_g,date,personelle,season,comments
TB,1,HG,Oenothera_ siffrtescuns,OESU,0.034,0.0086,5/28/2022,KB_KVL,early,
TB,1,HG,Aristida_purpurea,ARPU,0.018,0.0086,6/30/2022,KB_AY,late,
TB,1,HG,Carex_filifolia,CAFI,0.037,0.0087,5/28/2022,KB_KVL,early,
FK,2,LG,Plantago_patagonica,PLPA,0.04,0.0087,6/1/2022,KB_KVL,early,
FK,1,HG,Poa_secunda,POSE,0.031,0.0088,6/1/2022,KB_KVL,early,
FK,2,LG,Lydogesmia_juncea,LYJU,0.056,0.0088,6/1/2022,KB_KVL,early,
TB,3,LG,Gutierrezia_sarothrae,GUSA,0.04,0.0088,6/30/2022,KB_AY,late,
FK,2,LG,Aristida_purpurea,ARPU,0.018,0.0088,7/2/2022,KB_MF,late,
TB,1,HG,Carex_duriuscula,CADU,0.037,0.0089,5/28/2022,KB_KVL,early,
TB,2,MG,Bouteloua_ gracilis,BOGR,0.026,0.0089,6/30/2022,KB_AY,late,
TB,3,LG,Koeleria_macrantha,KOMA,0.035,0.009,5/29/2022,KB_KVL,early,
TB,2,HG,Bouteloua_ gracilis,BOGR,0.026,0.009,6/30/2022,KB_AY,late,
FK,2,LG,Bouteloua_gracilis,BOGR,0.021,0.009,7/2/2022,KB_MF,late,
TB,3,LG,Bouteloua_ gracilis,BOGR,0.024,0.0091,6/30/2022,KB_AY,late,
TB,3,MG,Draba_reptans,DRRE,0.062,0.0092,5/29/2022,KB_KVL,early,
TB,1,MG,Hedeoma_hispida,HEHI,0.037,0.0093,5/28/2022,KB_KVL,early,
FK,3,LG,Bromus_tectorum,BRTE,0.036,0.0093,6/1/2022,KB_KVL,early,
TB,1,LG,Erigeron_pumilus,ERPU,0.053,0.0094,5/28/2022,KB_KVL,early,
FK,2,HG,Plantago_patagonica,PLPA,0.032,0.0094,6/1/2022,KB_KVL,early,
TB,2,LG,Carex_duriuscula,CADU,0.061,0.0097,5/28/2022,KB_KVL,early,
FK,1,LG,Aristida_purpurea,ARPU,0.03,0.0097,7/2/2022,KB_MF,late,
TB,3,LG,Carex_filifolia,CAFI,0.033,0.0098,5/29/2022,KB_KVL,early,
TB,1,HG,Picradeniopsis_ oppositifolia,PIOP,0.057,0.01,5/28/2022,KB_KVL,early,
TB,1,HG,Antennaria_parvifolia,ANPA,0.037,0.0101,5/28/2022,KB_KVL,early,
TB,2,HG,Lithospermum_incisum,LIIN,0.025,0.0101,5/28/2022,KB_KVL,early,
TB,1,LG,Artemisia_tridentata,ARTR,0.023,0.0101,6/30/2022,KB_AY,late,
FK,1,LG,Bouteloua_dactyloides,BODA,0.026,0.0101,7/2/2022,KB_MF,late,
TB,3,MG,Koeleria_macrantha,KOMA,0.038,0.0102,5/29/2022,KB_KVL,early,
FK,1,HG,Plantago_patagonica,PLPA,0.03,0.0103,6/1/2022,KB_KVL,early,
FK,2,HG,Poa_secunda,POSE,0.021,0.0103,6/1/2022,KB_KVL,early,
TB,2,MG,Lepidium_densiflorum,LEDE,0.049,0.0104,5/28/2022,KB_KVL,early,
TB,3,HG,Artemisia_tridentata,ARTR,0.028,0.0104,6/30/2022,KB_AY,late,
FK,1,HG,Bouteloua_gracilis,BOGR,0.026,0.0106,7/2/2022,KB_MF,late,
TB,1,HG,Tetraneuris_acaulis,TEAC,0.056,0.0107,5/28/2022,KB_KVL,early,
TB,1,MG,Bouteloua_ gracilis,BOGR,0.027,0.0107,6/30/2022,KB_AY,late,
FK,2,HG,Artemisia_dracunculus,ARDR,0.04,0.0107,7/2/2022,KB_MF,late,
FK,3,LG,Bouteloua_dactyloides,BODA,0.023,0.0107,7/2/2022,KB_MF,late,
TB,1,MG,Erigeron_pumilus,ERPU,0.034,0.0108,5/28/2022,KB_KVL,early,
