site,genus_species,species_code,block,plant,percent_green,initial_growth,leaves,flower_heads,open_flowers,pollen_release,fruits,ripe_fruits,seed_drop,emerging_leaves,developed_leaves,height_cm,scenesced_leaves,biomass_mg,leaf_thickness_mm,leaf_area_cm,wet_weight_g,leaf_mg,comments,,
FK,Sphaeralcea_coccinea,spco,3,3,99,n,y,y,n,n,n,n,n,1,9,10.4,0,258.74,0.28,1.349,0.042,18.07,,,
FK,Tragapogon_dubius,trdu,1,1,80,n,y,y,n,n,n,n,y,0,10,30.8,3,987.574,0.23,,0.053,14.309,,,
FK,Tragapogon_dubius,trdu,1,2,96,n,y,n,n,n,n,n,n,1,5,18.2,1,89.364,0.22,,0.097,24.179,,,
FK,Tragapogon_dubius,trdu,1,3,75,n,y,y,n,y,n,n,y,0,12,32.1,9,908.73,0.21,,0.025,6.173,,,
FK,Tragapogon_dubius,trdu,2,1,90,n,y,y,n,n,n,n,y,2,13,41.7,4,1247.46,0.2,3.04,0.049,15.45,,,
FK,Tragapogon_dubius,trdu,2,2,80,n,y,y,n,n,n,n,y,0,4,29.4,6,339.8,0.15,,0.025,5.41,,,
FK,Tragapogon_dubius,trdu,2,3,94,n,y,y,y,n,y,n,y,1,26,38.2,3,2080,0.23,,0.075,21.96,,,
FK,Tragapogon_dubius,trdu,3,1,40,n,y,y,n,n,n,n,y,0,0,28.6,24,615.6,0.19,2.09,0.038,9.36,leaf from different plant,,
FK,Tragapogon_dubius,trdu,3,2,98,n,y,y,n,n,n,n,y,2,14,29.4,8,684.3,0.26,1.885,0.039,9.77,,,
FK,Tragapogon_dubius,trdu,3,3,100,n,y,n,n,n,n,n,n,1,6,19.3,4,122.1,0.2,1.824,0.063,11.13,,,
TB,Bouteloua gracilis,,1,1,100,n,y,n,n,n,n,n,n,1,3,9.4,0,0.0135,0.11,0.488,0.005,4.1,,,
TB,Bouteloua gracilis,,1,2,95,n,y,n,n,n,n,n,n,1,2,4,0,0.0012,0.12,0.113,<0.001,0.9,,,
TB,Bouteloua gracilis,,1,3,100,n,y,n,n,n,n,n,n,2,2,8.2,0,0.0095,0.12,0.42,0.007,5.6,,,
TB,Bouteloua gracilis,,2,4,100,n,y,n,n,n,n,n,n,1,3,5.9,0,0.0118,0.15,0.351,<0.001,3.2,,,
TB,Bouteloua gracilis,,2,5,100,n,y,n,n,n,n,n,n,1,3,4.2,0,0.0033,0.24,0.117,0.007,1.5,,,
TB,Bouteloua gracilis,,2,6,100,n,y,n,n,n,n,n,n,0,2,4.7,0,0.0066,0.22,0.205,0.006,2.9,,,
TB,Bouteloua gracilis,,3,7,90,n,y,n,n,n,n,n,n,1,4,8,1,0.0219,0.2,0.786,0.012,5.6,,,
TB,Bouteloua gracilis,,3,8,90,n,y,n,n,n,n,n,n,1,3,6.5,1,0.0066,0.17,0.214,<0.001,2.6,,,
TB,Bouteloua gracilis,,3,9,85,n,y,n,n,n,n,n,n,1,3,11.5,2,0.0351,0.16,1.069,0.02,7.6,Found in outplot,,
TB,Pascopyrum smithii,,1,1,60,n,y,n,n,n,n,n,n,1,1,26.7,2,0.0713,0.26,1.407,0.035,10.6,,,
TB,Pascopyrum smithii,,1,2,60,n,y,n,n,n,n,n,n,1,3,17.5,1,0.0594,0.27,1.474,0.067,13,,,
TB,Pascopyrum smithii,,1,3,99,n,y,n,n,n,n,n,n,1,3,33.1,0,0.1575,0.22,2.084,0.012,32.2,,,
TB,Pascopyrum smithii,,2,4,85,n,y,n,n,n,n,n,n,1,3,15.9,0,0.0597,0.21,1.379,0.04,18.1,,,
TB,Pascopyrum smithii,,2,5,97,n,y,n,n,n,n,n,n,1,4,31.5,1,0.2301,0.44,3.509,0.109,43.5,,,
TB,Pascopyrum smithii,,2,6,90,n,y,n,n,n,n,n,n,1,3,19.7,0,0.1004,0.33,1.682,0.074,27.1,,,
TB,Pascopyrum smithii,,3,7,80,n,y,n,n,n,n,n,n,1,4,24.7,1,0.1221,0.24,2.503,0.051,21.9,,,
TB,Pascopyrum smithii,,3,8,90,n,y,n,n,n,n,n,n,1,4,22.7,1,0.1194,0.29,2.328,0.051,20.3,,,
TB,Pascopyrum smithii,,3,9,85,n,y,n,n,n,n,n,n,1,3,20.5,1,0.1045,0.32,3.193,0.069,25.9,,,
TB,Koeleria macrantha,,1,1,90,n,y,n,n,n,n,n,n,1,3,24.1,1,0.1154,0.42,4.792,0.114,35.7,,,
TB,Koeleria macrantha,,1,2,85,n,y,n,n,n,n,n,n,1,2,12,1,0.0487,0.37,1.736,0.038,15.3,,,
TB,Koeleria macrantha,,1,3,100,n,y,n,n,n,n,n,n,1,3,16.6,0,0.0567,0.39,2.281,0.055,20.1,,,
TB,Koeleria macrantha,,2,4,100,n,y,n,n,n,n,n,n,1,2,5.5,0,0.0095,0.34,0.509,0.011,4.6,,,
TB,Koeleria macrantha,,2,5,100,n,y,n,n,n,n,n,n,1,2,16.6,0,0.0699,0.4,3.036,0.103,47.3,,,
TB,Koeleria macrantha,,2,6,99,n,y,n,n,n,n,n,n,1,2,9.8,0,0.0138,0.3,1.026,0.026,10.8,,,
TB,Koeleria macrantha,,3,7,80,n,y,y,y,n,n,n,y,0,0,39.8,3,0.1682,0.27,0.577,0.008,3.5,,,
TB,Koeleria macrantha,,3,8,98,n,y,n,n,n,n,n,n,1,2,8.9,0,0.0189,0.35,1.291,0.026,9.5,,,
TB,Koeleria macrantha,,3,9,95,n,y,y,y,n,n,n,y,0,2,41.6,1,0.1565,,,,,no leaves,,
TB,Bromus tectorum,,1,1,80,n,y,y,n,n,y,n,n,0,2,26.3,3,0.0447,0.21,1.051,0.009,1.8,,,
TB,Bromus tectorum,,1,2,90,n,y,y,n,n,y,n,n,0,2,19.4,2,0.0255,0.14,0.873,0.007,1.9,,,
TB,Bromus tectorum,,1,3,85,n,y,y,n,n,y,n,n,0,1,31,3,0.0461,0.18,0.674,0.008,2.7,,,
TB,Bromus tectorum,,2,4,50,n,y,y,y,n,y,n,n,0,0,33.6,3,0.0988,0.17,0.483,<0.001,1.4,,,
TB,Bromus tectorum,,2,5,98,n,y,y,y,n,y,n,n,0,2,47.6,0,0.3715,0.17,2.721,0.038,10.5,,,
TB,Bromus tectorum,,2,6,85,n,y,y,y,n,y,n,n,1,1,32.2,3,0.2059,0.18,1.017,0.013,4.8,,,
TB,Bromus tectorum,,3,7,90,n,y,y,y,n,n,n,y,0,0,36.4,5,0.1742,0.1,0.54,<0.001,1.6,,,
TB,Bromus tectorum,,3,8,90,n,y,y,y,n,n,n,y,0,0,24.6,5,0.0643,0.15,0.363,<0.001,1.1,Found in outplot,,
TB,Bromus tectorum,,3,9,90,n,y,y,y,n,y,n,n,0,1,29.1,5,0.0626,0.07,0.25,<0.001,0.6,Found in outplot,,
TB,Carex filifolia,,1,1,85,n,y,y,n,n,n,n,n,1,2,10,0,0.0132,0.3,0.267,<0.001,2.1,,,
TB,Carex filifolia,,1,2,40,n,y,y,n,n,n,n,n,1,2,6.1,1,0.0059,0.29,0.184,<0.001,1.7,,,
TB,Carex filifolia,,1,3,98,n,y,y,n,n,y,y,n,0,2,17,0,0.033,0.27,0.166,<0.001,1.3,,,
TB,Carex filifolia,,2,4,85,n,y,n,n,n,n,n,n,1,7,12,2,0.0398,0.14,0.798,0.022,8.8,,,
TB,Carex filifolia,,2,5,87,n,y,n,n,n,n,n,n,5,14,11.4,0,0.0123,0.04,0.622,0.014,5.6,,,
TB,Carex filifolia,,2,6,85,n,y,n,n,n,n,n,n,1,3,10.7,0,0.0238,0.14,0.615,0.015,6.3,,,
TB,Carex filifolia,,3,7,95,n,y,n,n,n,n,n,n,1,2,13,0,0.012,0.15,0.636,0.019,8.4,,,
TB,Carex filifolia,,3,8,98,n,y,n,n,n,n,n,n,1,2,12.2,0,0.0134,0.18,0.468,0.011,5.2,,,
TB,Carex filifolia,,3,9,99,n,y,n,n,n,n,n,n,0,1,7.4,0,0.0088,0.2,0.498,0.024,8.8,Only 1 leaf on plant- used for leaf measurements and for whole plant measurements,,
TB,Logfia arvensis,,1,1,90,n,y,y,n,n,n,n,n,4,25,11.6,4,0.0223,0.29,0.143,<0.001,0.36,Used mictobalance for dry leaf weight,,
TB,Logfia arvensis,,1,2,90,n,y,y,n,n,n,n,n,6,33,14.6,10,0.0437,0.21,0.096,<0.001,0.316,Used mictobalance for dry leaf weight,,
TB,Logfia arvensis,,1,3,55,n,y,y,n,n,n,n,n,2,12,5.6,6,0.0034,0.24,0.041,<0.001,0.084,Used mictobalance for dry leaf weight,,
TB,Logfia arvensis,,2,4,100,n,y,n,n,n,n,n,n,4,23,4.1,2,0.0054,0.15,0.046,<0.001,0.14,Used mictobalance for dry leaf weight,,
TB,Logfia arvensis,,2,5,95,n,y,n,n,n,n,n,n,7,41,19.6,9,0.0795,0.16,0.19,<0.001,0.614,Used mictobalance for dry leaf weight,,
TB,Logfia arvensis,,2,6,90,n,y,n,n,n,n,n,n,4,22,4.8,0,0.0092,0.1,0.104,<0.001,0.33,Used mictobalance for dry leaf weight,,
TB,Logfia arvensis,,3,7,80,n,y,n,n,n,n,n,n,4,23,8.9,9,0.0169,0.15,0.166,<0.001,0.336,Used mictobalance for dry leaf weight,,
TB,Logfia arvensis,,3,8,60,n,y,y,n,n,n,n,n,0,9,4.5,6,0.0042,0.14,0.046,<0.001,0.096,Used mictobalance for dry leaf weight,,
TB,Logfia arvensis,,3,9,95,n,y,y,n,n,n,n,n,0,19,8.7,1,0.0148,0.11,0.077,<0.001,0.259,Used mictobalance for dry leaf weight,,
TB,Psoralidium tenuiflorum,,1,1,100,n,y,n,n,n,n,n,n,15,14,35.2,0,0.7697,0.22,1.589,0.039,10.8,leaflets,,
TB,Psoralidium tenuiflorum,,1,2,100,n,y,n,n,n,n,n,n,11,23,26,0,0.5914,0.39,1.599,0.046,15.9,leaflets,,
TB,Psoralidium tenuiflorum,,1,3,100,n,y,y,n,n,n,n,n,80,78,37.4,0,2.0499,0.36,0.989,0.03,9.5,leaflets,,
TB,Psoralidium tenuiflorum,,2,4,95,n,y,n,n,n,n,n,n,6,13,12.4,0,0.114,0.31,1.094,0.024,7.5,leaflets,,
TB,Psoralidium tenuiflorum,,2,5,100,n,y,y,n,n,n,n,n,17,21,26.2,0,0.6431,0.45,2.044,0.052,19.3,leaflets,,
TB,Psoralidium tenuiflorum,,2,6,70,n,y,n,n,n,n,n,n,2,6,22.1,0,0.2206,0.09,1.414,0.054,14.9,"leaflets; ""disease?...""",,
TB,Psoralidium tenuiflorum,,3,7,100,n,y,n,n,n,n,n,n,4,13,20.4,0,0.1881,0.29,1.192,0.026,7.3,leaflets,,
TB,Psoralidium tenuiflorum,,3,8,100,n,y,n,n,n,n,n,n,5,8,14.5,0,0.127,0.3,1.484,0.029,8.1,leaflets,,
TB,Psoralidium tenuiflorum,,3,9,100,n,y,y,n,n,y,n,n,9,21,30.6,0,0.8533,0.34,1.465,0.035,12.6,leaflets,,
TB,Vicia americana,,1,1,100,n,y,y,n,y,y,n,n,12,30,26.7,0,0.3535,0.21,1.073,0.035,9.7,,,
TB,Vicia americana,,1,2,100,n,y,y,y,n,n,n,n,3,13,53.8,0,0.5151,0.19,1.742,0.034,10.4,,,
TB,Vicia americana,,1,3,95,n,y,y,n,y,y,n,n,3,13,53,2,0.6737,0.19,2.456,0.054,11.6,,,
TB,Vicia americana,,2,4,100,n,y,y,y,y,n,n,n,2,7,26.8,2,0.4098,0.26,2.742,0.066,21.2,,,
TB,Vicia americana,,2,5,100,n,y,n,n,n,n,n,n,2,6,20.9,0,0.2209,0.2,2.485,0.052,18,,,
TB,Vicia americana,,2,6,100,n,y,n,n,n,n,n,n,4,16,13.9,0,0.2348,0.24,0.98,0.024,8.4,,,
TB,Vicia americana,,3,7,98,n,y,n,n,n,n,n,n,0,11,28.5,0,0.3014,0.23,3.782,0.077,21.7,,,
