,,,,,,,,,,,,,,,,Opuntia pads #,Aristida purpurea,Bouteloua gracilis,Bromus tectorum,Hesperostipa comata,Koeleria macrantha,Nassella viridula,Pascopyrum smithii,Poa secunda,Vulpia octoflora,Carex duriuscula,Carex filifolia,Artemisia dracunculus,Artemisia frigida,Artemisia tridentata,Coryphantha vivipara,Gutierrezia sarothrae,Opuntia polyacantha,Allium textile,Alyssum desertorum,Draba reptans,Eremogone hookeri,Hedeoma hispida,Lepidium densiflorum,Lithospermum incisum,Logfia arvensis,Lomatium foeniculaceum,Musineon divaricatum,Oenotherea suffrutescens,Phlox hoodii,Plantago patagonica,Psoralidium tenuiflorum,Sphaeralcea coccinea,Taraxacum officinale,Tragopogon dubius,Vicia americana,Androsace occidentalis,Antennaria parvifolia,Astragalus lotiflorus,Astragalus bisulcatus,Bouteloua dactyloides,Bromus arvensis,Camelina microcarpa,Chamaesyce nutans,Cirsium canescens,Cirsium undulatum,Conyza canadensis,Collomia linearis ,Comandra umbellata,Descurainia pinnata,Descurainia sophia,Draba nemorosa,Elymus elymoides,Erigeron canus,Erigeron divergens/ochroleucus,Erigeron pumilus,Grindelia squarrosa,Lesquerella arenosa,Lesquerella ludoviciana,Leucocrinum montanum,Liatris punctata,Linum rigidum,Lygodesmia juncea,Machaeranthera canescens,Machaeranthera grindelioides,Machaeranthera pinnatifida,Nothocalais cuspidata,Nuttallanthus texanus,Oenotherea suffrutescens,Orobanche fasciculata,Penstemon albidus,Penstemon eriantherus,Pediomelum esculentum,Picradeniopsis oppositifolia,Polygonum aviculare,Scorzonera laciniata,Schedonnardus paniculatus,Sporobolus cryptandrus,Tetraneuris acaulis,Tradescantia occidentalis,Veronica peregrina,Viola nuttallii ,Zigadenus venenosus,Lupinus pusillus,STANDING DEADArtemisia tridentata,STANDING DEAD Bromus arvensis,STANDING DEAD Bromus tectorum,STANDING DEAD Logfia arvensis,STANDING DEAD Pascopyrum smithii,Penstemon sp.,CRCE/LELU/Penstemon sp,Oenothera?,Unknown #7 baby guara?,UNKN8 basal rosette lancroiati,Unk #3 Basal Rosette,Unk #3 soft point leaf KW photo,Unkn #10 small linear leaf KW photo,Cirsium sp.,Oneothera n?,,,NOTES
entered_by,observers,date,year,site,plot,aerial_basal,estimated_total,added_total_datasheet,added_total_excel,bare,dung,lichen,litter,moss,mushroom,OPPO_PADS,ARPU,BOGR,BRTE,HECO,KOMA,NAVI,PASM,POSE,VUOC,CADU,CAFI,ARDR,ARFR,ARTR,COVI,GUSA,OPPO,ALTE,ALDE,DRRE,ERHO,HEHI,LEDE,LIIN,LOAR,LOFO,MUDI,OESU,PHHO,PLPA,PSTE,SPCO,TAOF,TRDU,VIAM,ANOC,ANPA,ASLO,ASBI,BODA,BRAR,CAMI,CHNU,CICA,CIUN,COCA,COLI,COUM,DEPI,DESO,DRNE,ELEL,ERCA,ERDI,ERPU,GRSQ,LEAR,LELU,LEMO,LIPU-liatris,LIRI,LYJU,MACA,MAGR,MAPI,NOCU,NUTE,OESU,ORFA,PEAL,PEER,PEES,PIOP,POAV,SCLA,SCPA,SPCR,TEAC,TROC,VEPE,VINU,ZIVE,LUPU,SDARTR,SDBRAR,SDBRRTE,SDLOAR,SDPASM,PESP,,,,,,,,CISP,,Rock,Moss/Lichen/Bogr overlap,
Jill Baty,Kim LaPierre,6/22/18,2018,TB,6,Aerial,90,95,95.5,1,0,0,4,0.5,,,0,1,30,19,0,0,1,0.5,0.5,0.5,0,,0.5,3,,0,5,0,0.5,0.5,,0.5,0,0,30,0,0,0,0,0.5,0,0,0,0,0,,,,,,2,0,,,,0,0,0,,,0,,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,0,,,,,,,0.5,,,,,,,,,,0,.,Lots of lichen/borr/moss overlap with many spp.
Jill Baty,Kim LaPierre,6/22/18,2018,TB,6,Basal,45,42,42,12,0.5,0,25,1,,,0,0.5,10,8,0,0,0.5,0.5,0.5,0.5,0,,0.5,2,,0,4,0,0.5,0.5,,0.5,0,0,12,0,0,0,0,0.5,0,0,0,0,0,,,,,,0.5,0,,,,0,0,0,,,0,,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,0,,,,,,,0.5,,,,,,,,,,0,0,Lots of lichen/borr/moss overlap with many spp.
Jill Baty,Kim LaPierre,6/22/18,2018,TB,8,Aerial,65,68,68.5,20,0.5,7,4,0.5,,,1,48,0,1,2,0,2,2,0.5,0,0,,2,0,,0,0.5,0,0.5,0.5,,0.5,1,0.5,2,0,0,0,0,1,3,0.5,0,0,0,,,,,,0.5,0,,,,0,0,0,,,0,,0,0,0,,,,,,,,,,,,,,0,0.5,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0.5,.,
Jill Baty,Kim LaPierre,6/22/18,2018,TB,8,Basal,50,47,47,25,0.5,7,20,0.5,,,0.5,38,0,0.5,0,0,0.5,0.5,0.5,0,0,,1,0,,0,0.5,0,0.5,0.5,,0.5,0.5,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0,0,0,,,,,,0.5,0,,,,0,0,0,,,0,,0,0,0,,,,,,,,,,,,,,0,0.5,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0.5,.,
Jill Baty,Kim LaPierre,6/22/18,2018,TB,10,Aerial,55,53,51.5,30,0.5,7,9,0,0.5,,0,20,0.5,0,8,0,0.5,2,0.5,0.5,3,,0,1,,0,0,0.5,0.5,0,,0.5,0,0.5,1,0.5,0,0,0,0.5,9,0.5,0,0,0,,,,,,2,0,,,,0,0,0,,,0,,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0.5,.,"Mushroom cover: 0.5, 0.5"
Jill Baty,Kim LaPierre,6/22/18,2018,TB,10,Basal,35,32,31.5,35,0.5,7,25,0,0.5,,0,15,0.5,0,6,0,0.5,0.5,0.5,0.5,2,,0,0.5,,0,0,0.5,0.5,0,,0.5,0,0.5,0.5,0.5,0,0,0,0.5,1,0.5,0,0,0,,,,,,0.5,0,,,,0,0,0,,,0,,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0.5,.,"Mushroom cover: 0.5, 0.5"
Jill Baty,Sally Koerner,6/22/18,2018,TB,9,Aerial,65,66.5,59.5,18,0,3,4,10,,,7,35,0,0,7,0,0,0,0.5,0.5,0.5,,12,0,,0,0,0,0,0.5,,0.5,0.5,0,0.5,0,0,0,0,0.5,0,0.5,0,0,0,,,,,,0.5,0,,,,0.5,0,0,,,0,,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,.,
Jill Baty,Sally Koerner,6/22/18,2018,TB,9,Basal,50,47.5,41.5,25,0,3,12,10,,,6,25,0,0,4,0,0,0,0.5,0.5,0.5,,7,0,,0,0,0,0,0.5,,0.5,0.5,0,0.5,0,0,0,0,0.5,0,0.5,0,0,0,,,,,,0.5,0,,,,0.5,0,0,,,0,,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,.,
Jill Baty,Sally Koerner,6/22/18,2018,TB,11,Aerial,80,82.5,82.5,13,0,3,2,2,,,0,50,0,0,5,0,10,7,1,0,0,,0,0,,0,0,0,0,0,,0.5,0.5,0,5,0,0,0.5,0,2,0,0,0,0,0,,,,,,1,0,,,,0,0,0,,,0,,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,.,
Jill Baty,Sally Koerner,6/22/18,2018,TB,11,Basal,65,61,62,20,0,3,10,2,,,0,45,0,0,4,0,6,3,0.5,0,0,,0,0,,0,0,0,0,0,,0.5,0.5,0,1,0,0,0.5,0,0.5,0,0,0,0,0,,,,,,0.5,0,,,,0,0,0,,,0,,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,.,
Jill Baty,Sally Koerner,6/22/18,2018,TB,34,Aerial,80,81,81,11,0.5,4,4,0,,,0,55,0,1,11,0,1,1,0.5,0.5,0,,0,0,,0,0,0,0,0.5,,0,0,0,0.5,0,0,0,0,10,0,0,0,0,0,,,,,,0,0,,,,0,0,0,,,0,,0,0,0,,,,,,,,,0,,,,,0,0,,,,,,0,,,,,,0,,,,,,,0,,,,,,,,,,0.5,.                                                                                                                                                                       ,
Jill Baty,Sally Koerner,6/22/18,2018,TB,34,Basal,60,63,63,25,0.5,10,10,0,,,0,50,0,0,7,0,0.5,0.5,0.5,0.5,0,,0,0,,0,0,0,0,0.5,,0,0,0,0.5,0,0,0,0,3,0,0,0,0,0,,,,,,0,0,,,,0,0,0,,,0,,0,0,0,,,,,,,,,0,,,,,0,0,,,,,,0,,,,,,0,,,,,,,0,,,,,,,,,,0.5,0.5,
Jill Baty,Sally Koerner,6/22/18,2018,TB,36,Aerial,60,61,56.5,33,0.5,2,2,0,,,4,24,0,0,12,0,0.5,0,0.5,1,0,,5,0,,2,0,0,0,0.5,,0,0,0,0,0,0,0,2,7,0,0,0,0,0,,,,,,0,0,,,,0,0,0,,,0,,0,0,0,,,,,,,,,1,,,,,0,0,,,,,,1,,,,,,0,,,,,,,0,,,,,,,,,,2,0,
Jill Baty,Sally Koerner,6/22/18,2018,TB,36,Basal,45,44.5,41,43,0.5,6,6,0,,,3,20,0,0,9,0,0.5,0,0.5,0.5,0,,3,0,,1,0,0,0,0.5,,0,0,0,0,0,0,0,2,3,0,0,0,0,0,,,,,,0,0,,,,0,0,0,,,0,,0,0,0,,,,,,,,,0.5,,,,,0,0,,,,,,0.5,,,,,,0,,,,,,,0,,,,,,,,,,3,0,
Jill Baty,Sally Koerner,6/22/18,2018,TB,1,Aerial,45,42,39.5,34,2,4,4,0,,,5,12,0.5,0,10,0,0,0.5,0.5,0,4,,3,0,,0,0,0,0,0.5,,0,0.5,0,0.5,0,0,0,1,1,3,0,0,0,0,,,,,,0.5,0,,,,0,0,2,,,0,,0,0,0,,,,,,,,,0,,,,,0,0,,,,,,0,,,,,,0,,,,,,,0,,,,,,,,,,7,0,
