"","year","site","plot","aerial_basal","Genus_Species","Relative_Cover","Common.Name","Native_Introduced","Functional_Group","Annual_Perennial"
"97",2018,"TB","22","Aerial","Bouteloua.gracilis",47.4576271186441,"blue grama","N","C4","P"
"98",2018,"TB","22","Basal","Bouteloua.gracilis",56.1797752808989,"blue grama","N","C4","P"
"99",2018,"TB","13","Aerial","Bromus.tectorum",0.680272108843537,"cheatgrass","I","Brome","A"
"100",2018,"TB","13","Basal","Bromus.tectorum",1.25,"cheatgrass","I","Brome","A"
"101",2018,"TB","16","Aerial","Bromus.tectorum",2.96296296296296,"cheatgrass","I","Brome","A"
"102",2018,"TB","16","Basal","Bromus.tectorum",1.35135135135135,"cheatgrass","I","Brome","A"
"103",2018,"TB","15","Aerial","Bromus.tectorum",31.7460317460317,"cheatgrass","I","Brome","A"
"104",2018,"TB","15","Basal","Bromus.tectorum",23.2558139534884,"cheatgrass","I","Brome","A"
"105",2018,"TB","14","Aerial","Bromus.tectorum",0.847457627118644,"cheatgrass","I","Brome","A"
"106",2018,"TB","14","Basal","Bromus.tectorum",1.31578947368421,"cheatgrass","I","Brome","A"
"107",2018,"TB","17","Aerial","Bromus.tectorum",0.675675675675676,"cheatgrass","I","Brome","A"
"108",2018,"TB","17","Basal","Bromus.tectorum",1.31578947368421,"cheatgrass","I","Brome","A"
"109",2018,"TB","18","Aerial","Bromus.tectorum",1.61290322580645,"cheatgrass","I","Brome","A"
"110",2018,"TB","18","Basal","Bromus.tectorum",1.2987012987013,"cheatgrass","I","Brome","A"
"111",2018,"TB","44","Aerial","Bromus.tectorum",8.75,"cheatgrass","I","Brome","A"
"112",2018,"TB","44","Basal","Bromus.tectorum",4,"cheatgrass","I","Brome","A"
"113",2018,"TB","19","Aerial","Bromus.tectorum",1.03092783505155,"cheatgrass","I","Brome","A"
"114",2018,"TB","19","Basal","Bromus.tectorum",1.53846153846154,"cheatgrass","I","Brome","A"
"115",2018,"TB","3","Aerial","Bromus.tectorum",38.974358974359,"cheatgrass","I","Brome","A"
"116",2018,"TB","3","Basal","Bromus.tectorum",35.3982300884956,"cheatgrass","I","Brome","A"
"117",2018,"TB","7","Aerial","Bromus.tectorum",0.520833333333333,"cheatgrass","I","Brome","A"
"118",2018,"TB","7","Basal","Bromus.tectorum",0.763358778625954,"cheatgrass","I","Brome","A"
"119",2018,"TB","6","Aerial","Bromus.tectorum",31.413612565445,"cheatgrass","I","Brome","A"
"120",2018,"TB","6","Basal","Bromus.tectorum",23.8095238095238,"cheatgrass","I","Brome","A"
"121",2018,"TB","10","Aerial","Bromus.tectorum",0.970873786407767,"cheatgrass","I","Brome","A"
"122",2018,"TB","10","Basal","Bromus.tectorum",1.58730158730159,"cheatgrass","I","Brome","A"
"123",2018,"TB","1","Aerial","Bromus.tectorum",1.26582278481013,"cheatgrass","I","Brome","A"
"124",2018,"TB","1","Basal","Bromus.tectorum",1.81818181818182,"cheatgrass","I","Brome","A"
"125",2018,"TB","5","Aerial","Bromus.tectorum",8.33333333333333,"cheatgrass","I","Brome","A"
"126",2018,"TB","5","Basal","Bromus.tectorum",2.29885057471264,"cheatgrass","I","Brome","A"
"127",2018,"TB","33","Aerial","Bromus.tectorum",0.666666666666667,"cheatgrass","I","Brome","A"
